,driver_name,rating,year
364,james calado,P,2022
365,james calado,P,2021
366,james rossiter,P,2017
367,james winslow,S,2017
368,jamie winslow,S,2019
369,jan heylen,G,2022
370,jan lammers,B,2018
371,jan lammers,B,2017
372,jan magnussen,P,2019
373,jan magnussen,P,2018
374,jan magnussen,P,2017
375,jan magnussen,P,2020
376,jan magnussen,P,2021
377,jason hart,S,2022
378,jaxon evans,S,2021
379,jazeman jafaar,G,2018
380,jean eric vergne,P,2020
381,jean glorieux,B,2022
382,jean-baptiste lahaye,S,2022
383,jean-eric vergne,P,2018
384,jean-eric vergne,P,2019
385,jean-eric vergne,P,2017
386,jeffrey segal,G,2019
387,jeffrey segal,G,2018
388,jeffrey segal,G,2020
389,jeroen bleekemolen,P,2017
390,jeroen bleekemolen,G,2019
391,jeroen bleekemolen,P,2018
392,jeroen bleekemolen,G,2020
393,jesse krohn,G,2019
394,job van uitert,S,2019
395,job van uitert,G,2020
396,job van uitert,G,2022
397,job van uitert,G,2021
398,joey hand,P,2018
399,joey hand,P,2019
400,joey hand,P,2017
401,john falb,B,2019
402,john farano,B,2019
403,john falb,B,2020
404,john falb,B,2022
405,john falb,B,2021
406,johnathan adam,P,2020
407,johnny mowlem,G,2020
408,jonathan adam,P,2019
409,jonathan adam,G,2017
410,jonathan adam,P,2018
411,jonathan aberdein,G,2022
412,jonathan bomarito,G,2019
413,jonathan hirschi,G,2019
414,jonathan hirschi,G,2018
415,jonathan hirschi,G,2017
416,jonathan hirschi,G,2020
417,jonathan kennard,S,2020
418,jordan king,G,2019
419,jordan taylor,P,2017
420,jordan taylor,P,2022
421,jose gutierrez,S,2017
422,jose gutierrez,S,2018
423,jose maria lopez,P,2018
424,jose maria lopez,P,2017
425,jose maria lopez,P,2019
426,jose maria lopez,P,2020
427,jose maria lopez,P,2021
428,jose maria lopez,P,2022
429,joshua pierson,S,2022
430,juan pablo montoya,P,2018
431,juan pablo montoya,P,2020
432,juan pablo montoya,P,2021
433,jules gounon,G,2019
434,jules gounon,G,2020
435,julien andlauer,S,2019
436,julien andlauer,S,2018
437,julien andlauer,G,2020
438,julien andlauer,G,2022
439,julien canal,S,2019
